,verbalization,subjectCQ,propertyCQ,objectCQ,theme
41,A delegation is at a point in time.,What is at a point in time?,What is the relation between a delegation and a time?,When is a delegation at a point in time?,Sports
42,The official name of a team is a name.,What is a name?,What is the relation between a delegation and a name?,What is the official name of a delegation?,Sports
43,A delegation is a participant in a competition.,Who is a participant in a competition?,What is the relation between a delegation and a competition?,Where is a delegation a participant in?,Sports
44,A team is founded in a time.,What is founded in a time?,What is the relation between a team and a time?,When is a team founded?,Sports
45,A person is part of a season.,Who is part of a season?,What is the relation between a person and a season?,What is a person a part of?,Sports
46,A team is from a state.,Who is from a state?,What is the relation between a team and a state?,Where is a team from?,Sports
47,A team has a ranking.,What has a ranking?,What is the relation between a team and a ranking?,What is the ranking of a team?,Sports
48,A sport club plays a sport.,Who plays a sport?,What is the relation between a sport club and a sport?,What does a sport club play?,Sports
49,The regby association is the authority for the international rugby team active in the 1980s,What authority is the regby association?,What is relation between The regby association and the international rugby team active in the 1980s,Who is the authority for the international rugby team active in the 1980s,Sports
50,"The Basketball team based in Melissia, Attika, Greece is located in  place in Athens, Greece","Which one is located in  place in Athens, Greece","What is relation between The Basketball team based in Melissia, Attika, Greece and the Athens, Greece","Where is The Basketball team based in Melissia, Attika, Greece located ",Sports
51,The racing driver is one of the crew members of 2016 FIA World Endurance Championship LMP2 entry,Where is the racing driver a crew memeber?,What is relation between The racing driver and the 2016 FIA World Endurance Championship LMP2 entry    ,Who is one of the crew members of 2016 FIA World Endurance Championship LMP2 entry,Sports
52,The Croatia U-17 is the short name for the national association football team,What is the meaning of the Croatia u-17,What is relation between The Croatia U-17 and the national association football team,Who is the short name for the national association football team,Sports
53,The hockey team of the National Hockey League won the ice hockey award,Who won the ice hockey award,What is relation between The hockey team of the National Hockey League and ice hockey award,What do The hockey team of the National Hockey League won ,Sports
54,The team size of sporting event delegation is 6 people,Who has a team size of 6 people,What is relation between The team size of sporting event delegation and the 6 people,How much is the team size of sporting event delegation,Sports
55,The rugby union team is affiliated with the governing body for rugby union in France,Who  is affiliated with the governing body for rugby union in France,What is relation between The rugby union team and the governing body for rugby union in France   ,Where is the rugby union team affiliated?,Sports
56,The Estonian footballer is the captain of the women's national association football team representing Estonia,In which team is the estonian footballer a captain?,What is relation between The Estonian footballer and the women's national association football team representing Estonia,Who  is the captain of the women's national association football team representing Estonia,Sports
57,The national sports team played cricket in Pakistan,Where did The national sports team play cricket ,What is relation between The national sports team and Pakistan,Who played cricket in Pakistan,Sports
58,"The Basketball team based in Rethymno, Crete, Greece is named after a monastery",Which one is named after a monastery,"What is relation between The Basketball team based in Rethymno, Crete, Greece and a monastery","After who is The Basketball team based in Rethymno, Crete, Greece named after ",Sports
59,The association football club in Major League Soccer is different from association football club,What is different from association football club,What is relation between The association football club in Major League Soccer and the association football club,From who is the association football club in Major League soccer different?,Sports
60,The ice hockey player is a member of the Czech Ice Hockey Association,Who  is a member of the Czech Ice Hockey Association,What is relation between The ice hockey player and the Czech Ice Hockey Association,Where is the ice hockey player part of?,Sports
61,The official color of French rugby union club is a color,Who was a red official color?,What is relation between The official color of French rugby union club and a color,What is the official color of French regby union club,Sports
62,The French association football player was a participant in a European Championship,Who was a participant in a European Championship,What is relation between The French association football player and a European Championship,Where did he French association football player participate?,Sports
63,The cricket team played in the one-year period 1993-1994,Who  played in the one-year period 1993-1994,What is relation between The cricket team and one-year period 1993-1994,How much did The cricket team play?,Sports
64, The nickname of women's college basketball team is Great Danes,Whose nickname is Great Danes,What is relation between The nickname of women's college basketball team and Great Danes,How is The nickname of women's college basketball team ,Sports
65,"The basketball team is located in city in West Flanders, Belgium","Who  is located in city in West Flanders, Belgium","What is relation between The basketball team and the city in West Flanders, Belgium",Where is the basketball team located?,Sports
66,The men's college basketball team has a parent club of sports team of a university or college,Who  has a parent club of sports team of a university or college,What is relation between The men's college basketball team and the sports team of a university or college,Who is the parent team of The men's college basketball team ,Sports
67,"What is relation between The Welsh rugby union football club competed in a 15-a-side team sport, code of rugby football","Who competed in a 15-a-side team sport, code of rugby football","What is relation between The Welsh rugby union football club and a 15-a-side team sport, code of rugby football",Where does The Welsh rugby union football club competed,Sports
68,The racecar driver is the general manager of cycling team,Which team does the racecar driver manage?,What is relation between The racecar driver and cycling team,Who is the general manager of cycling team,Sports
69,The national association football team has the FIFA country code BHR,Who has the FIFA country code BHR,What is relation between The national association football team and the FIFA country code BHR,Which FIFA code does The national association football team have,Sports
70,The team was destroyed in 1996,Who was destroyed in 1996,What is relation between The team and 1996,When was the team destroyed,Sports
71,The national badminton team is owned by the badminton association,What is owned by the badminton association,What is relation between The national badminton team and the badminton association,Who owns the national badmington team,Sports
72, The basketball club from Republic of Macedonia  is located in a city in North Macedonia,What is located in a city in North Macedonia,What is relation between The basketball club from Republic of Macedonia  and a city in North Macedonia,Where is The basketball club from Republic of Macedonia  located,Sports
73, The road cycling team play in the 2010 season,When does the road cycling team play?,The road cycling team and the 2010 season,Who played in the 2010 season,Sports
74,The Mexican racing cyclist is the point classification for the cyclist team,For which team is The Mexican racing cyclist the point classification,What is relation between The Mexican racing cyclist and the cyclist team,Who is the point classification for the cyclist team,Sports
75,The Swedish cross-country skier is the flag bearer of sporting event delegation,Where is The Swedish cross-country skier the flag bearer?,What is relation between The Swedish cross-country skier and the sporting event delegation,Who  is the flag bearer of sporting event delegation,Sports
76, The American professional basketball team has 1081923 followers on social media,Who  has 1081923 followers on social media,What is relation between The American professional basketball team and 1081923 followers on social media,How many followers does The American professional basketball team have,Sports
77,The national association football team is from sovereign state in southern Africa,Who  is from sovereign state in southern Africa,What is relation between The national association football team and the sovereign state in southern Africa,Where is The national association football team  from,Sports
78,"The soccer club in Tyresö, Sweden is a sportsground in Tyresö municipality, Sweden","Who  is a sportsground in Tyresö municipality, Sweden","What is relation between The soccer club in Tyresö, Sweden and a sportsground in Tyresö municipality, Sweden","What is The soccer club in Tyresö, Sweden ",Sports
79,The Spanish road bicycle racer is the head coach of cycling team  ,Which team does The Spanish road bicycle racer  coach?,What is relation between The Spanish road bicycle racer and the cycling team  ,Who  is the head coach of cycling team  ,Sports
80, 2016 Team was followed by 2017 Team,What was followed by 2017 Team,What is relation between 2016 Team and 2017 Team,Who followed the 2016 team?,Sports
81,Team 2016 follows Team 2015,Who follows Team 2015,What is relation between Team 2016 and Team 2015    ,Which team followed the team 2016,Sports
82,"The Australian first class cricket team based in Melbourne, Victoria  play in the domestic first-class cricket competition in Australia",Who play in the domestic first-class cricket competition in Australia,"What is relation between The Australian first class cricket team based in Melbourne, Victoria  and the domestic first-class cricket competition in Australia     ","Where does The Australian first class cricket team based in Melbourne, Victoria  play",Sports
83,The Team 2018 won the stage of the Vuelta a Burgos,Who  won the stage of the Vuelta a Burgos,What is relation between The Team 2018 and the stage of the Vuelta a Burgos     ,What did the team 2018 win?,Sports
84,"The headquarters of Japanese volleyball club is located in city in Mie prefecture, Japan","What  is located in city in Mie prefecture, Japan","What is relation between The headquarters of Japanese volleyball club and the city in Mie prefecture, Japan    ",Where are The headquarters of Japanese volleyball club located,Sports
85,The cycling team started on 1983,What started on 1983,What is relation between The cycling team and 1983  ,When started the cycling team,Sports
86,The road cycling team ended on 2018,What ended on 2018,What is relation between The road cycling team and 2018  ,When did the road cycling team end?,Sports
87,The football team competes in the association football when played by men  ,Who competes in the association football when played by men  ,What is relation between The football team and the association football when played by men  ,Where does The football team compete,Sports
88,The UCI code for cycling team is PRM,Whose code is PRM,What is relation between  The UCI code for cycling team and PRM,What UCI code has the cycling team,Sports
89,The college level women's basketball team is part of university,Which team  is part of university,What is relation between  The college level women's basketball team and the university,Where is The college level women's basketball team  part of,Sports
90, The sporting event delegation  is at a point in time in 2018,What is at a point in time in 2018,What is relation between  The sporting event delegation  and a point in time in 2018,In what point in time is The sporting event delegation  ,Sports
91,The official name of cycling team is Veranclassic-Doltcini,Whose official name is Veranclassic-Doltcini,What is relation between  The official name of cycling team and Veranclassic-Doltcini,What is the official name of cycling team,Sports
92," The sporting event delegation was a participant in Games of the XV Olympiad, held in Helsinki in 1952","Who was a participant in Games of the XV Olympiad, held in Helsinki in 1952","What is relation between  The sporting event delegation and the Games of the XV Olympiad, held in Helsinki in 1952",Where was he sporting event delegation a participant,Sports
93, The German women's ice hockey team was founded in 2017,What  was founded in 2017,What is relation between  The German women's ice hockey team and 2017,When was The German women's ice hockey team founded,Sports
94,The Italian road bicycle racer is a part of 2013 Team Saxo-Tinkoff season,Where is The Italian road bicycle racer a part of,What is relation between  The Italian road bicycle racer and the 2013 Team Saxo-Tinkoff season,Who is a part of 2013 Team Saxo-Tinkoff season,Sports
95,The cricket team are from sovereign state in North America,Who  are from sovereign state in North America,What is relation between  The cricket team and the sovereign state in North America,Where are the cricket team from?,Sports
96,The national football team of Nepal has a ranking of 169,Who  has a ranking of 169,What is relation between  The national football team of Nepal and a ranking of 169,What ranking does the national football team of Nepali have?,Sports
97,"The French rugby union team plays  15-a-side team sport, code of rugby football","Who  plays  15-a-side team sport, code of rugby football","What is relation between  The French rugby union team and 15-a-side team sport, code of rugby football",What does the french regby union team play?,Sports
0,A catalog is the source of a painting.,What painting has source a catalogue?,What is the relation between a painting and a catalog?,What catalog does a painting have as source?,Painting
1,-,-,-,-,Painting
2,A painting is a significant event in purchasing.,What painting is a significant event in purchasing?,What is the relation between a painting and a purchase?,What purchase is a painting a significant event in?,Painting
3,The thickness of a painting is x centimeters.,What painting has a thickness of x centimeters?,What is the relation between a painting and thickness?,What is the thickness of a painting?,Painting
4,A painting is part of a painting.,What painting is part of painting?,What is the relation between two paintings?,What painting is a painting part of?,Painting
5,A painting is an exhibition history of a building.,What painting is an exhibition history of a building?,What is the relation between a painting and a building?,What building is a painting an exhibition history of?,Painting
6,A painting is a movement in a type of movement.,What painting is a movement in a type of movement?,What is the relation between a painting and a type of movement?,What movement is a painting?,Painting
7,-,-,-,-,Painting
8,a historical monument.,What painting is a heritage designation as a monument?,What is the relation between a painting and a monument?,What monument is a painting heritage designation as?,Painting
9,A painting is located in a commune.,What painting is located in a commune?,What is the relation between a painting and a commune?,What commune is a painting located in?,Painting
10,The religion of a painting is a religion.,What painting's religion is a religion?,What is the relation between a painting and a religion?,What religion is a painting?,Painting
11,A painting is from a state.,What painting is from a state?,What is the relation between a painting and a state?,What state is a painting from?,Painting
12,A painting was created in a city.,What painting was created in a city?,What is the relation between a painting and a city?,What city was a painting created in?,Painting
13,A series of paintings are from a state.,What series of paintings are from a state?,What is the relation between a series of paintings and a state?,What state are a series of paintings from?,Painting
14,A person is the main subject of a painting.,What painting's main subject is a person?,What is the relation between a painting and a person?,What person is a painting's main subject?,Painting
15,A museum owns a painting.,What painting is owned by a museum?,What is the relation between a painting and a museum?,What museum owns a painting?,Painting
16,The catalog code for a painting is a number.,What painting's catalog code is a number?,What is the relation between a painting and a number?,What is the catalog number of a painting?,Painting
17,A painting is a type of painting.,What painting is a type of painting?,What is the relation between a painting and a type of painting?,What type of painting is a painting?,Painting
18,A painting is in a domain.,What painting is in a domain?,What is the relation between a painting and a domain?,What domain is a painting at?,Painting
19,A painting depicts a mythology creature.,What painting depicts a mythology creature?,What is the relation between a painting and a mythical creature?,What mythical creator does a painting depict?,Painting
20,A painting has a width of x centimeters.,What painting has a width of x centimeters?,What is the relation between a painting and width?,What is the width of a painting?,Painting
21,A painting has a height of x centimeters.,What painting has a height of x centimeters?,What is the relation between a painting and height?,What is the height of a painting?,Painting
22,A painting is also know as a title.,What painting is also known as a title?,What is the relation between a painting and a title?,What title is a painting also known as?,Painting
23,A painting was founded in a time.,What painting was founded in a time?,What is the relation between a painting and a time?,What time is a painting founded?,Painting
24,A painting was created by a person.,What painting was created by a person?,What is the relation between a painting and a person?,What person is a painting created by?,Painting
25,A painting is located at a museum.,What painting is located at a museum?,What is the relation between a painting and a museum?,What museum is a painting located at?,Painting
26,A panting has the inventory number number.,What painting has the inventory number number?,What is the relation between a painting and a number?,What is the inventory number of a painting?,Painting
27,A painting is part of a collection.,What painting is part of a collection?,What is the relation between a painting and a collection?,What collection is a painting part of?,Painting
28,A painting is made of type of paint.,What painting is made of type of paint?,What is the relation between a painting and type of paint?,What type of paint is a painting made of?,Painting
29,A catalog is the source of a painting.,What painting has source a catalogue?,What is the relation between a painting and a catalog?,What catalog does a painting have as source?,Painting
30,-,-,-,-,Painting
31,A painting is a significant event in purchasing.,What painting is a significant event in purchasing?,What is the relation between a painting and a purchase?,What purchase is a painting a significant event in?,Painting
32,The thickness of a painting is x centimeters.,What painting has a thickness of x centimeters?,What is the relation between a painting and thickness?,What is the thickness of a painting?,Painting
33,A painting is part of a painting.,What painting is part of painting?,What is the relation between two paintings?,What painting is a painting part of?,Painting
34,A painting is an exhibition history of a building.,What painting is an exhibition history of a building?,What is the relation between a painting and a building?,What building is a painting an exhibition history of?,Painting
35,A painting is a movement in a type of movement.,What painting is a movement in a type of movement?,What is the relation between a painting and a type of movement?,What movement is a painting?,Painting
36,-,-,-,-,Painting
37,a historical monument.,What painting is a heritage designation as a monument?,What is the relation between a painting and a monument?,What monument is a painting heritage designation as?,Painting
38,A painting is located in a commune.,What painting is located in a commune?,What is the relation between a painting and a commune?,What commune is a painting located in?,Painting
39,The religion of a painting is a religion.,What painting's religion is a religion?,What is the relation between a painting and a religion?,What religion is a painting?,Painting
40,A painting is from a state.,What painting is from a state?,What is the relation between a painting and a state?,What state is a painting from?,Painting
41,A painting was created in a city.,What painting was created in a city?,What is the relation between a painting and a city?,What city was a painting created in?,Painting
42,A series of paintings are from a state.,What series of paintings are from a state?,What is the relation between a series of paintings and a state?,What state are a series of paintings from?,Painting
43,A person is the main subject of a painting.,What painting's main subject is a person?,What is the relation between a painting and a person?,What person is a painting's main subject?,Painting
44,A museum owns a painting.,What painting is owned by a museum?,What is the relation between a painting and a museum?,What museum owns a painting?,Painting
45,The catalog code for a painting is a number.,What painting's catalog code is a number?,What is the relation between a painting and a number?,What is the catalog number of a painting?,Painting
46,A painting is a type of painting.,What painting is a type of painting?,What is the relation between a painting and a type of painting?,What type of painting is a painting?,Painting
47,A painting is in a domain.,What painting is in a domain?,What is the relation between a painting and a domain?,What domain is a painting at?,Painting
48,A painting depicts a mythology creature.,What painting depicts a mythology creature?,What is the relation between a painting and a mythical creature?,What mythical creator does a painting depict?,Painting
49,A painting has a width of x centimeters.,What painting has a width of x centimeters?,What is the relation between a painting and width?,What is the width of a painting?,Painting
50,A painting has a height of x centimeters.,What painting has a height of x centimeters?,What is the relation between a painting and height?,What is the height of a painting?,Painting
51,A painting is also know as a title.,What painting is also known as a title?,What is the relation between a painting and a title?,What title is a painting also known as?,Painting
52,A painting was founded in a time.,What painting was founded in a time?,What is the relation between a painting and a time?,What time is a painting founded?,Painting
53,A painting was created by a person.,What painting was created by a person?,What is the relation between a painting and a person?,What person is a painting created by?,Painting
54,A painting is located at a museum.,What painting is located at a museum?,What is the relation between a painting and a museum?,What museum is a painting located at?,Painting
55,A panting has the inventory number number.,What painting has the inventory number number?,What is the relation between a painting and a number?,What is the inventory number of a painting?,Painting
56,A painting is part of a collection.,What painting is part of a collection?,What is the relation between a painting and a collection?,What collection is a painting part of?,Painting
57,A painting is made of type of paint.,What painting is made of type of paint?,What is the relation between a painting and type of paint?,What type of paint is a painting made of?,Painting
0,A street is different from a street.,What street is different from a street?,What is the relation between two streets?,What street is different from a street?,Street
1,The source of a street is a website.,What street is the source a website?,What is the relation between a street and a website?,What website is the source of a street?,Street
2,A street is in a county.,What street is in a county?,What is the relation between a street and a county?,What county is a street in?,Street
3,A street is located in a city.,What street is located in a city?,What is the relation between a street and a city?,What city is a street located in?,Street
4,An alley is the terminus of a street.,What alley is the terminus of a street?,What is the relation between an alley and a street?,What street has an alley as a terminus of?,Street
5,The width of the street is x meters.,What street has a width of x meters?,What is the relation between a street and x meters?,How many meters is the width of a street?,Street
6,A label is a native label.,What label is a native label?,What is the relation between a label and a native label?,What native label is a label?,Street
7,An alley started on a time.,What alley started on a time?,What is the relation between an alley and a time?,What time did an alley start on?,Street
8,The street key for a street is a number.,What street is a number a street key?,What is the relation between a street and a number?,What number is the street key of a street?,Street
9,A street is part of a highway.,What street is part of a highway?,What is the relation between a street and a highway?,What highway is a street a part of?,Street
10,A street was founded on a time.,What street was founded on a time?,What is the relation between a street and a time?,What time was a street founded on?,Street
11,The length of a street is x meters.,What street has a length of x meters?,What is the relation between a street and x meters?,How many meters is the length of a street?,Street
12,A street has a border with a street.,What street has a border with a street?,What is the relation between two streets?,What street has a border with a street?,Street
13,A street is connected to a street.,What street is connected to a street?,What is the relation between two streets?,What street is a street connected to?,Street
14,A street is named after a person.,What street is named after a person?,What is the relation between a street and a person?,What person is a street named after?,Street
15,The official name of a street is a name.,What street has an official name a name?,What is the relation between a street and a name?,What name does a street have an official name?,Street
16,A street is located in a village.,What street is located in a village?,What is the relation between a street and a village?,What village is a street located in?,Street
17,Address is the street address of a street.,What address is the street address of a street?,What is the relation between an address and a street?,What street is an address a street address of?,Street
18,A street is located in a country.,What street is located in a country?,What is the relation between a street and a country?,What country is a street located in?,Street
19,A street is located in a municipality.,What street is located in a municipality?,What is the relation between a street and a municipality?,What municipality is a street located in?,Street
20,The postal code for a street is a code.,What street is a code a postal code of?,What is the relation between a street and a postal code?,What code is the postal code of a street?,Street
21,A street is different from a street,What a street is different from?,What is the relation between two different streets?,What a street is different from?,Street
22,The source of a street is a website,What a website is the source of?,What is the relation between a street and a website?,What is the source of a street?,Street
23,A street is located in a county,What is located in a county?,What is the relation between a street and a county?,Where is a street located?,Street
24,A street is located in a statistical territorial entity,What is located in a statistical territorial entity?,What is the relation between a street and a statistical territorial entity?,Where is a street located?,Street
25,An alley is in the terminus of a street,What is in the terminus of a street?,What is the relation between an alley and the terminus of a street?,In the terminus of what is an alley located?,Street
26,The width of a street is an amount of metres,-,What is the relation between a street and an amount of metres?,-,Street
27,-,-,-,-,Street
28,An alley started on a date.,-,What is the relation between an alley and a date?,When has an alley started?,Street
29,A street is related to a street key,What a street key is related to?,What is the relation between a street and a street key?,What is a street related to?,Street
30,A street is part of a highway,What is part of a highway?,What is the relation between a street and a highway?,What is a street part of?,Street
31,A street was founded on a date,What was founded on a date?,What is the relation between a street and a date?,When was a street founded?,Street
32,The length of a street is an amount of metres,What an amount of metres is the length of?,What is the relation between a street and an amount of metres?,What is the length of a street?,Street
33,A street has a border with a street,What a street has a border with?,What is the relation between a street and a street?,What a street has a border with?,Street
34,A street is connected to a street.,What is connected to a street?,What is the relation between a street and a street.,What is connected to a street?,Street
35,A street is named after a person,What is named after a person?,What is the relation between a street and a person?,What a street is named after?,Street
36,A street has as official name a name,What a name is the official name of?,What is the relation between a street and a name?,What is the official name of a street?,Street
37,A street is located in a village,What is located in a village?,What is the relation between a street and a village?,Where is a street located?,Street
38,-,-,-,-,Street
39,A street is located in a country,What is located in a country?,What is the relation between a street and a country?,Where is a street located?,Street
40,A street is located in a municipality,What is located in a municipality?,What is the relation between a street and a municipality?,Where is a street located?,Street
41,A street has a postal code ,What is a postal code the postal code of?,What is the relation between a street and a postal code?,-,Street
0,S: The locomotive / P: has height / O: height,What is part of the means of transposrtation?,What is a measurement for means of transportation?,What is the height of a locomotive?,Mean
1,A 19th century locomotive is different from a 20th century locomotive,How can the locomotive be temporally defined?,What is the similarity relationship between locomotives?,How can the locomotive be temporally defined?,Mean
2,The bycicle is a common mean of transportation in East Europe,What is a common mean of transportation in East Europe?,How to go around in Europe?,Where is the bycicle a common mean of transportation?,Mean
3,A locomotive / is wide / a width in millimeters,What mean of transportation is wide in millimeters?,What is the measurement relationship in millimeters for the locomotive?,What is a measurement in millimeters for the locomotive?,Mean
4,The railway / has a boiler pressure / pressure in pounds per square inch,What has a boiler pressure measured in pounds per square inch?,What is the measurement relationship between railway and pounds per square inch?,What is a measurement in pounds per square inch for railways?,Mean
5,A german cycling association Lausitzer Radfahrer-Bund / is located / in Germany,What german association is located in Demitz-Thumitz?,What is the relationship concerning an entity and a place?,Where is the cycling association Lausitzer Radfahrer-Bund located in?,Mean
6,At the stage of the Vuelta a España 2018 number 16 /has combination classification / Alejandro Valverde,What has combination classification Alejandro Valverde?,What is the classificaion of a cycling road race called?,Who is the combination classification for 2018 Vuelta a España stage 16?,Mean
7,The locomotive / has the nickname / Elefant,What mean of transportation has the nickname Elefant?,What is the relationship between an entity and a nickname?,What is the locomotive called as a nickname?,Mean
8,The British locomotive / has a stroke / length in inch,What mean of transportation has a length in inches?,What is the relationship measurement between locomotive and length in inches?,What is the measurement of the length of the British locomotive?,Mean
9,A compound of locomotives is replaced by a compound of locomotives,What has been replaced by a compound of locomotives?,What is the substitution relationship between two means of transportation?,What has replaced a compound of locomotives?,Mean
10,The Valli Varesine 2010 team has Lampre-Farnese vini,Who has Lampre Farnese vini?,What is the possession relationship between two entities?,What does the 2010 team Valli Varesine have?,Mean
11,Italian Lcomotives are the same as Austrian locomotives,What locomotives are the same as Austrial lcoomotives?,What is the identical similarity relationship between two entities?,What locomotives are the same as Italian locomotives?,Mean
12,The Railway / has a bore / inches long,What mean of transportation has a bore long inches?,What is the relationship between a railway and its bore long inches?,What is the measurement of the bore of the railway?,Mean
13,The Vuelta a Espana / has participants / 151,What has 151 participants?,What is the possession relationship between two entities?,How many participants does the Vuelta a Espana have?,Mean
14,The locomotive / was started in / year 1955,What mean of transportation was started ?,When is the temporal beginning relationship between an entity and a time?,When was the locomotive started?,Mean
15,Danish electric locomotives ended in 1999,What ended in 1999?,What is the finishing relationship between an entity and a time event?,When Danish electric locomotives ended?,Mean
16,Australian locomotives / were established / in 1880,What was established in 1880?,What is the establishment relationship between entities and a year?,When were Australian locomotives established?,Mean
17,Lift is located in Kent,What is located in Kent?,What is the localization relationship between an entity and a place??,Where is the lift located?,Mean
18,Slovak locomotive / has mass / 72 tonne,What has a mass of 72 tonne?,What is the weight relationship between an entity and its mass in tonne?,What mass does the Slovak locomotive have?,Mean
19,German locomotives replaced German locomotives,What replaced German locomotives?,What is the substitution relationship between two locomotives?,What replaced German locomotives?,Mean
20,Tre Valli Varesine / has edition number / 43,What has edition number 43?,What is the relationship concerning an entity and its edition number?,What is the edition number of Tre Valli Varesine?,Mean
21,Locomotive / has speed / 100km/h,What has speed 100 km/h?,What is the velocity relationship between locomotive and unit of speed?,What is the speed of the locomotive?,Mean
22,The locomotive has length 15180 millimetres,What has length 15180 millimetres?,What is the length relationship between a locomotive and the unit of length?,How long is the locomotive?,Mean
23,A locomotive / has / a cow-calf,What mean of transportation has a cow calf?,What is the possession relationship between two entities?,What does a locomotive have?,Mean
24,The locomotives use the switcher,What mean of transportation uses the switcher?,What is the usage relationship between two entities?,What do the locomotives use?,Mean
25,Giro d'Italia / classified / road racing cyclist,What race classified the road racing cyclist?,What is the classification relationship in a race between race and athlete?,Who was classified in the Giro d'Italia?,Mean
26,The stage of the Vuelta a Espana / has member / Gino Mader,Who was Gino Mader member of?,What is the membership relationship between the race and a cyclist?,Who was member of the Stage 13 of the Vuelta of Espana?,Mean
27,Tour de France / Classified / Erik Zabel,What race classified Erik Zabel?,What is the classification relationship between a race and an athlete?,Who was classified in the Tour de France?,Mean
28,The locomotive / is powered by / the engine,What is powered by the engine?,What is the relationship of power between a locomotive and its engine?,What powers the locomotive?,Mean
29,Giro d'Italia / classifies / team,What race classified the team?,What is the classification relationship between a race and a team?,What was classified in the race?,Mean
30,A locomotive is part of diesel-electric locomotives,What is part of diesel-electric locomotives?,What is the part of relationship between two entities?,What is the class of which a locomotive is part of?,Mean
31,A locomotive is designed by an engineer,What mean of transportation does an engineer design?,What is the relationship between an engineer and a mean of transportation?,Who designs a locomotive?,Mean
32,A sport / involves / road bycicle racing,What is involved in road bycicle racing?,What is the involvement relationship between two entities?,What cycling discipline involves a sport?,Mean
33,Tour de france / follows / past tour de france,What follows a past tour de france?,What is the relationship between subsequent events?,What does the tour de france follow?,Mean
34,China locomotives use railway electrification,What uses railway electrification?,What is the usage relationship between two entities?,What type of power do China locomotives use?,Mean
35,Tour de Luxembourg follows Prologue of Tour de Luxembourg,What follows Prologue of Tour de Luxembourg?,What is the relationship between two subsequent events?,What is the Tour of Luxembourg after?,Mean
36,not clear,not clear,not clear,not clear,Mean
37,The event is long 157km ,What is long 157 km?,What is the length relationship between an entity and a unit of measure?,How long is the event in km?,Mean
38,Vuelta a Espana has destination municipality,What has a municipality as destination?,What is the relationship concerning destination?,What is the destination of Vuelta a Espana?,Mean
39,First stage has start point city,What is the city the start point of?,What is the starting point relationship between a stage of a race and a city?,What is the starting point of the first stage?,Mean
40,-,-,-,-,Mean
41,-,-,-,-,Mean
42,-,-,-,-,Mean
43,-,-,-,-,Mean
44,-,-,-,-,Mean
45,-,-,-,-,Mean
46,-,-,-,-,Mean
47,-,-,-,-,Mean
48,-,-,-,-,Mean
49,-,-,-,-,Mean
50,-,-,-,-,Mean
51,-,-,-,-,Mean
52,-,-,-,-,Mean
53,-,-,-,-,Mean
54,-,-,-,-,Mean
55,-,-,-,-,Mean
56,-,-,-,-,Mean
57,-,-,-,-,Mean
58,A locomotive has a height.,What has a height?,What is the relation between a locomotive and a height?,What is the height of a locomotive?,Mean
59,A locomotive is different from a locomotive.,What is different from a locomotive?,What is the relation between locomotives?,What is different from a locomotive?,Mean
60,A scooter is used to cycle in a country.,What is used to cycle in a country?,What is the relation between a scooter and a country?,Where is a scooter used?,Mean
61,A locomotive has a width.,What has a width?,What is the relation between a locomotive and a width?,What is the width of a locomotive?,Mean
62,A locomotive has a boiler pressure.,What has a boiler pressure?,What is the relation between a locomotive and boiler pressure?,What is the boiler pressure of a locomotive?,Mean
63,An association is located in a city.,What is located in a city?,What is the relation between an association and a city?,Where is an association located?,Mean
64,A person is the combination classification of a stage.,Who is the combination classification of a stage?,What is the relation between a person and a stage?,What is a person a combination classification of?,Mean
65,The nickname of a locomotive is a nickname.,What is a nickname?,What is the relation between a locomotive and a nickname?,What is a locomotive's nickname?,Mean
66,A locomotive has a stroke.,What has a stroke?,What is the relation between a locomotive and a stroke?,What is the stroke of a locomotive?,Mean
67,A locomotive is replaced by a locomotive.,What is replaced by a locomotive?,What is the relation between locomotives?,What replaces a locomotive?,Mean
68,-,What is part of a season?,-,-,Mean
69,A locomotive is said to be the same to a locomotive.,What is said to be the same to a locomotive?,What is the relation between locomotives?,What is said to be the same to a locomotive?,Mean
70,A locomotive has a bore.,What has a bore?,What is the relation between a locomotive and a bore?,What is the bore of a locomotive?,Mean
71,A stage has a number of participants.,What has a number of participants?,What is the relation between a stage and a number of participants?,How many participants does a stage have?,Mean
72,A locomotive is started in a time.,What is started in a time?,What is the relation between a locomotive and a time?,When is a locomotive started?,Mean
73,A locomotive ended in a time.,What ended in a time?,What is the relation between a locomotive and a time?,When did a locomotive end?,Mean
74,A locomotive is established in a time.,What is established in a time?,What is the relation between a locomotive and a time?,When is a locomotive established?,Mean
75,-,What is located in a town?,-,-,Mean
76,A locomotive has a mass.,What has a mass?,What is the relation between a locomotive and a mass?,What is the mass of a locomotive?,Mean
77,A locomotive replaces a locomotive.,What replaces a locomotive?,What is the relation between locomotives?,What is a locomotive replaced by?,Mean
78,-,-,-,-,Mean
79,A locomotive's speed is a speed.,What is a speed?,What is the relation between a locomotive and a speed?,What is the speed of a locomotive?,Mean
80,The length of a locomotive is a length.,What is a length?,What is the relation between a locomotive and a length?,What is the length of a locomotive?,Mean
81,A locomotive has a quality.,What has a quality?,What is the relation between a locomotive and a quality?,What is a locomotive's quality?,Mean
82,A switcher is used in a locomotive.,What locomotive uses a switcher?,What is the relation between a locomotive and a switcher?,What switcher does a locomotive use?,Mean
83,-,What is a mountain classification for a stage?,-,-,Mean
