,original_triple,SubjectCQ,PropertyCQ,ObjectCQ,Theme
0,Alban Berg was involved in the World War I.,Who was involved in the World War I?,What was Berg involved in during the first world war?,What war was Berg involved in?,Artist
0,Georgiy Pavlovitsj Pavlov is in the Eastern Front.,Who is in the Eastern Front?,What type of conflict is in the Eastern Front?,Where is Pavlovitsj Pavlov?,Artist
0,Garth Marenghi was involved in the Vietnam War.,Who was involved in the Vietnam War?,What was Garth Marenghi involved in?,What war was Garth Marenghi involved in?,Artist
0,Fabian Gottlieb von Bellingshausen was involved in the Russo-Turkish War of 1828–29.,Who was involved in the Russo-Turkish War of 1828-1929?,What was the Russo-Turkish War?,What war was Fabian Gottlieb von Bellingshausen involved in?,Artist
0,Aleksandr Vasilevitsj Vasjakin is in the Eastern Front.,Who is in the Eastern Front?,What type of conflict is Vasjakin in?,Where is Aleksandr Vasilevitsj Vasjakin?,Artist
0,Mullanezhi is written in Malayalam.,What is the name of the book that is written in Malayalam?,What is Mullanezhi written in?,Mullanezhi is written in what language?,Artist
0,Eeltsje Hiddes Halbertsma is written in West Frisian.,What is written in West Frisian?,What is Eeltsje Hiddes Halbertsma written in?,What language is Eeltsje Hiddes Halbertsma written in?,Artist
0,Bao Shichen is written in Classical Chinese.,What is written in Classical Chinese?,What is Bao Shichen written in?,What language is Bao Shichen written in?,Artist
0,Maximilian Voloshin writes in Russian.,Who writes in Russian?,What language does Voloshin write in?,Maximilian Voloshin writes in what language?,Artist
0,Rafael de León writes in Spanish.,Who writes in Spanish?,What language does Rafael de León write in?,What language does Rafael de León write?,Artist
0,Hans Baluschek writes in German.,Who writes in German?,What language does Hans Baluschek write in?,What language does Baluschek write?,Artist
0,Lewis Collins has 3 children.,Who has 3 children?,How many children does Lewis Collins have?,How many children does Lewis Collins have?,Artist
0,"Robert Walker, Jr. has 7 children.",Who has 7 children?,How many children does Robert Walker Jr. have?,How many children does Robert Walker Jr. have?,Artist
0,Bec Hewitt has 3 children.,Who has 3 children?,How many children does Bec Hewitt have?,How many children does Bec Hewitt have?,Artist
0,Moshe Kasher has 1 child.,Who has 1 child?,How many children does Moshe Kasher have?,How many children does Moshe Kasher have?,Artist
0,Shane McMahon has 3 children.,Who has 3 children?,How many children does Shane McMahon have?,How many children does Shane McMahon have?,Artist
0,Carmen Wenzel has 2 children.,Who has 2 children?,How many children does Carmen Wenzel have?,How many children does Carmen Wenzel have?,Artist
0,"Undine Smith Moore is the owner of the Stuart A Rose Manuscript, Archives, and Rare Book Library.","Who owns the Stuart A Rose Manuscript, Archives, and Rare Book Library?",,What is the name of the collection owned by Undine Smith Moore?,Artist
0,Michel Écochard's archives are at the Institut Français d'Architecture.,Whose archives are at the Institut Français d'Architecture?,Where is Michel Écochard's archive?,Where are Michel Écochard's archives located?,Artist
0,Pietro Mascagni is in the Beinecke Rare Book & Manuscript Library.,Who is in the Beinecke Rare Book & Manuscript Library?,,Where is Pietro Mascagni located?,Artist
0,Marc Allégret is in the archives of the Cinémathèque Française.,Who is in the archives of the Cinémathèque Française?,Where is Marc Allégret?,Where is Marc Allégret in the archives?,Artist
0,Jacques Chessex is in the Swiss Literary Archives.,Who is in the Swiss Literary Archives?,Where is Jacques Chessex?,Where is Jacques Chessex?,Artist
0,Ernst Kein's archives are at the Austrian National Library.,Whose archives are at the Austrian National Library?,Where is Ernst Kein's work located?,Where are Ernst Kein's archives located?,Artist
0,Octave Mirbeau is a relative of Claude Monet.,Who is a relative of Claude Monet?,What is Octave Mirbeau's status?,Who is Octave Mirbeau a relative of?,Artist
0,Pieter Vanderlyn is a relative of Henry Van Der Lyn.,Pieter Vanderlyn is a relative of whom?,What is Pieter Vanderlyn's status?,Who is a relative of Henry Van Der Lyn?,Artist
0,James William Wallack II is a relative of James William Wallack.,Who is James William Wallack II a relative of?,What is James William Wallack II's status?,Who is a relative of James William Wallack?,Artist
0,Filippo Marignoli is a relative of Filippo Marignoli.,Who is a relative of Filippo Marignoli?,What is Filippo Marignoli's status?,Who is a relative of Filippo Marignoli?,Artist
0,Alain Baugé is a relative of Anna Tariol-Baugé.,Who is Alain Baugé a relative of?,What is Alain Baugé's status?,Who is a relative of Anna Tariol-Baugé?,Artist
0,Marla Maples is a relative of Lillie Marie Maples (Kimsey).,What is the name of the relative of Lillie Marie Maples?,What is Marla Maples's status?,Marla Maples is a relative of who?,Artist
0,Julie Cash has a mass of 64 kilograms.,What is the name of the person who has a mass of 64 kilograms?,How much does Julie Cash have?,How much is Julie Cash's body mass?,Artist
0,Reginald Lisowski has a mass of 114 kilograms.,Who has a mass of 114 kilograms?,What is the weight of Reginald Lisowski?,How much is Reginald Lisowski's mass?,Artist
0,Kelly Madison has a mass of 61 kilograms.,What is the name of the person who has a mass of 61 kilograms?,What is Kelly Madison's weight?,How much is Kelly Madison's mass?,Artist
0,Yuki Higashi has a mass of 44 kilograms.,What is the name of the person who has a mass of 44 kilograms?,What is Higashi's weight?,What is Yuki Higashi's mass?,Artist
0,Ichidai Morisato has a mass of 100 kilograms.,What is the name of the animal that has a mass of 100 kilograms?,What does Ichidai Morisato have?,How much is Ichidai Morisato's mass?,Artist
0,杉江優篤 has a mass of 68 kilograms.,What is the mass of <unk>?,,,Artist
0,Christian Zehnder is part of Stimmhorn.,Who is a member of Stimmhorn?,What is Christian Zehnder a part of?,Christian Zehnder is a member of what organization?,Artist
0,Amedeo is part of Pio e Amedeo.,What is the name of the group that makes up Pio e Amedeo?,What is Amedeo a part of?,What is the name of the group that Amedeo is a part of?,Artist
0,Jarosław Kaczyński is part of Jarosław Kaczyński and Lech Kaczyński.,Who is a member of the Kaczy<unk>ski family?,,,Artist
0,Peter Dietrich (Keramiker) is part of Anni und Peter Dietrich.,Who is a part of Anni und Peter Dietrich?,What is Peter Dietrich's job title?,What is Peter Dietrich a part of?,Artist
0,Dimitri Vegas is part of Dimitri Vegas & W&W.,What is the name of the casino that is part of Dimitri Vegas & W&W?,,What is the name of the company that produces Dimitri Vegas?,Artist
0,Jared Hess is part of Jared and Jerusha Hess.,Who is a part of Jared and Jerusha Hess?,What is Jared Hess's role in the family?,What is the name of the group that Jared Hess is a part of?,Artist
0,Joseph Neuhäuser is a member of the National Socialist German Workers' Party.,Who is a member of the National Socialist German Workers' Party?,What is Joseph Neuhäuser's job title?,What party is Joseph Neuhäuser a member of?,Artist
0,Sip Hofstede is a member of the Christian Heritage Party of Canada.,Who is a member of the Christian Heritage Party of Canada?,What is Sip Hofstede's profession?,What party is Sip Hofstede a member of?,Artist
0,Julianne Hough is a member of the Democratic Party.,Who is a member of the Democratic Party?,What is Julianne Hough's job title?,What party is Julianne Hough a member of?,Artist
0,Lionel Stoléru is a member of the Radical Party.,Who is a member of the Radical Party?,What is Lionel Stoléru's political affiliation?,Lionel Stoléru is a member of what party?,Artist
0,Yu Qian is a member of the Revolutionary Committee of the Chinese Kuomintang.,Who is a member of the Revolutionary Committee of the Chinese Kuomintang?,What is Yu Qian's profession?,What is Yu Qian a member of?,Artist
0,Richard Münnich is a member of the German People's Party.,Who is a member of the German People's Party?,What is Richard Münnich's job title?,What party is Richard Münnich a member of?,Artist
0,Carlos Giménez's work period (end) was 1992.,Who was the last person to work in Mexico City?,What was Carlos Giménez's last year of work?,When did Carlos Giménez's work period end?,Artist
0,Lu Ann Simms worked until 1989.,Who worked until 1989?,What is the term for the end of the work period?,Lu Ann Simms worked until what year?,Artist
0,Johannes Hermanus van der Heyden's work period (end) was 1907.,Whose work period was 1907?,What was Johannes Hermanus van der Heyden's work period?,Johannes Hermanus van der Heyden's work period ended in what year?,Artist
0,Walter Brennan's work period (end) was 1974.,Who was the last person to work in the United States?,What was Walter Brennan's job title?,When did Walter Brennan's work period end?,Artist
0,Tonu Kiipus worked until 1940.,Who worked until 1940?,What is the term for Tonu Kiipus's employment?,When did Tonu Kiipus stop working?,Artist
0,Charles Roskam's work period (end) was 1921.,Who was the last person to work in the United States?,What was Charles Roskam's job title?,What year did Roskam's work end?,Artist
0,Mazhar Khaleqi is a Muslim.,Who is a Muslim?,What is Mazhar Khaleqi's religion?,What religion is Mazhar Khaleqi?,Artist
0,Bailee Madison's religion is Christianity.,Who is the founder of Christianity?,What is Bailee Madison's religion?,What is Bailee Madison's religion?,Artist
0,Vitaly Churkin's religion is the Russian Orthodox Church.,Who is the founder of the Russian Orthodox Church?,What is Vitaly Churkin's profession?,What is Vitaly Churkin's religion?,Artist
0,Tito Livio Burattini's religion is the Catholic Church.,Who was the founder of the Catholic Church?,What is the Catholic Church?,What is Tito Livio Burattini's religion?,Artist
0,The religion of Bénigne de Bacilly is Catholicism.,What is the religion of?,What is Catholicism?,What is the religion of Bénigne de Bacilly?,Artist
0,Chabad Lubavitch is the religion of Tali Avrahami.,Who is Chabad Lubavitch?,What is Chabad Lubavitch?,What is the religion of Tali Avrahami?,Artist
0,Shota Nakagawa is a professional wrestler.,Who is a professional wrestler?,What is Shota Nakagawa's passion?,What is Shota Nakagawa's sport?,Artist
0,Nick Kiniski is an amateur wrestler.,Who is an amateur wrestler?,Nick Kiniski is an amateur wrestler in what field?,What is Nick Kiniski's sport?,Artist
0,Carmella is a professional wrestler.,Who is a professional wrestler?,What is Carmella's passion?,What is Carmella's sport?,Artist
0,Atsushi Aoki is a professional wrestler.,Who is a professional wrestler?,What is Atsushi Aoki's profession?,What type of wrestler is Atsushi Aoki?,Artist
0,Emilien De Falco plays taekwondo.,Who plays taekwondo?,What is Emilien De Falco's passion?,What does De Falco play?,Artist
0,Rachel Evers' sport is powerlifting.,Who is the sport of powerlifting?,What is Rachel Evers' passion?,What is Rachel Evers' sport?,Artist
0,Ahmet İnal is in the 2010s.,Who is in the 2010s?,,,Artist
0,Frans Jongmans is the creator of floruit in the 1980s.,Who created floruit?,What is the name of the product created by Frans Jongmans?,When was floruit created?,Artist
0,Theoktistos ho Monachos is a floruit from the 12th century.,What is the name of the floruit from the 12th century?,What is Theoktistos ho Monachos?,When was the floruit Theoktistos ho Monachos?,Artist
0,Louise Lawler designed floruit in 2010.,Who designed floruit in 2010?,What did Louise Lawler design in 2010?,When was floruit designed?,Artist
0,The Master of Beautiful Madonnas was born in the 14th century in floruit.,What was the name of the person who was born in the 14th century?,Where was the Master of Beautiful Madonnas born?,When was the Master of Beautiful Madonnas born?,Artist
0,Girolamo Prepiani has a floruit that dates back to 1805.,What is the name of the town that has a floruit that dates back to 1805?,What type of plant dates back to 1805?,What year does the Floruit of Girolamo Prepiani date back to?,Artist
0,Tove Jansson's mother is Signe Hammarsten-Jansson.,Who is the son of Signe Hammarsten-Jansson?,What is Tove Jansson's occupation?,Who is Tove Jansson's mother?,Artist
0,Theophil Baron Meyendorff's mother is Елена Павловна Шувалова.,Who is the son of <unk>лена <unk>авловна <unk>увалова?,,Who is Theophil Baron Meyendorff's mother?,Artist
0,Ann Mui's mother is Mei Tam Mei-kam.,Who is the mother of Mei Tam Mei-kam?,What is Ann Mui's name?,Who is Ann Mui's mother?,Artist
0,Peter III of Aragon's mother is Violant of Hungary.,Who is Violant of Hungary?,What is Violant of Hungary?,What is Peter III of Aragon's mother?,Artist
0,Sally Frejrud Carlsson's mother is Ing-Marie Carlsson.,Who is Ing-Marie Carlsson?,What is Ing-Marie Carlsson's occupation?,Who is Sally Frejrud Carlsson's mother?,Artist
0,Rakhee Gulzar is the mother of Meghna Gulzar.,Who is Rakhee Gulzar's mother?,What is Rakhee Gulzar's occupation?,Who is the mother of Meghna Gulzar?,Artist
0,Jorge Barbi's movement is land art.,Who is the founder of the land art movement?,What is Jorge Barbi's work called?,What type of art is Jorge Barbi's movement?,Artist
0,Glenn Brown is part of the movement for contemporary art.,Who is a part of the movement for contemporary art?,What is Glenn Brown a part of?,What movement is Glenn Brown a part of?,Artist
0,Georges Arnoux is part of the movement of Western classical music.,Who is a part of the movement of Western classical music?,What movement is Georges Arnoux a part of?,What movement is Georges Arnoux a part of?,Artist
0,Édouard Delabrièrre is an animalier.,Who is an animalier?,What is the main activity of Édouard Delabrièrre?,What is Édouard Delabrièrre?,Artist
0,Milton Babbitt was a pioneer of 20th century classical music.,Who was a pioneer of 20th century classical music?,What was Milton Babbitt's major accomplishment?,What genre of music did Milton Babbitt pioneer?,Artist
0,Emma B. King is a member of the American Impressionism movement.,Who is a member of the American Impressionism movement?,What is Emma B. King a member of?,What movement is Emma B. King a member of?,Artist
0,Vitaly Churkin is the ambassador of the Russian Federation to Belgium.,Who is the ambassador of the Russian Federation to Belgium?,What is Vitaly Churkin's position in the Russian Federation?,What is Vitaly Churkin's job title?,Artist
0,André Dauchez is the president.,Who is the president of Mexico City?,What is André Dauchez's title?,What is André Dauchez's title?,Artist
0,Lord Otho FitzGerald is a member of the 20th Parliament of the United Kingdom.,Who is a member of the 20th Parliament of the United Kingdom?,What is Lord FitzGerald's position in Parliament?,What is Lord Otho FitzGerald's position?,Artist
0,Patrick Bonnefon is a conseiller municipal de Carsac-Aillac.,Who is the municipal conseiller de Carsac-Aillac?,What is Patrick Bonnefon's position?,What is Patrick Bonnefon's job title?,Artist
0,Arthur Rosenberg is a member of the Reichstag of the Weimar Republic.,Who is a member of the Reichstag of the Weimar Republic?,What is Arthur Rosenberg's position in the Reichstag?,What is Arthur Rosenberg's job title?,Artist
0,Hayley Westenra is the UNICEF Goodwill Ambassador.,Who is the UNICEF Goodwill Ambassador?,What is Hayley Westenra's job title?,What is Hayley Westenra's job title?,Artist
0,Giovanni Sbriglia is a student of Ada Adini.,Who is a student of Ada Adini?,What is Giovanni Sbriglia's profession?,Who is Giovanni Sbriglia a student of?,Artist
0,Lucien Capet was a student of Robert Casadesus.,Who was a student of Robert Casadesus?,What was Lucien Capet's occupation?,Who was Lucien Capet a student of?,Artist
0,Esther Heins is a student of Ernest Lee Major.,Esther Heins is a student of whom?,What is Esther Heins's occupation?,Who is a student of Ernest Lee Major?,Artist
0,Wang Jie is a student of Richard Danielpour.,Who is Wang Jie a student of?,What is Wang Jie's profession?,Who is a student of Richard Danielpour?,Artist
0,Milly Slöör-Tjäder is a student of Henri Matisse.,Who is Milly Slöör-Tjäder a student of?,What is Milly Slöör-Tjäder's profession?,Who is a student of Henri Matisse?,Artist
0,Theodor Svedberg is a student of Arne Tiselius.,Who is a student of Arne Tiselius?,What is the profession of Theodor Svedberg?,Who is Theodor Svedberg a student of?,Artist
0,Adam Williams is different from Adam Williams.,Who is different from Adam Williams?,How does Adam Williams compare to Adam Williams?,Who is different from Adam Williams?,Artist
0,Jan Zrzavý is different from Jan Zrzavý.,Who is different from Jan Zrzav<unk>?,,,Artist
0,Larry Clarke is different from Larry Clarke.,Who is different from Larry Clarke?,How does Larry Clarke compare to Larry Clarke?,Who is different from Larry Clarke?,Artist
0,Jorge Bustos is different from Jorge Bustos.,Who is different from Jorge Bustos?,How does Jorge Bustos compare to Jorge Bustos?,Who is different from Jorge Bustos?,Artist
0,Giuseppe De Luca is different from Giuseppe De Luca.,Who is different from Giuseppe De Luca?,How does Giuseppe De Luca compare to De Luca?,Who is different from Giuseppe De Luca?,Artist
0,Ann Williams is different from Ann Williams.,Who is different from Ann Williams?,How does Ann Williams compare to Ann Williams?,Who is different from Ann Williams?,Artist
0,Guillaume Cizeron is a participant in the 2017 World Figure Skating Championships - ice dancing.,Who is a participant in the 2017 World Figure Skating Championships?,What is Guillaume Cizeron's role in the 2017 World Figure Skating Championships?,What event is Guillaume Cizeron a participant in?,Artist
0,Anne Pashley was a participant in the 1956 Summer Olympics.,Who participated in the 1956 Summer Olympics?,What was Anne Pashley involved in?,What was the name of the Olympics that Anne Pashley participated in?,Artist
0,Chen Hong is a participant in the 2019 Chinese Figure Skating Championships - ice dance.,Who is a participant in the 2019 Chinese Figure Skating Championships?,What is Chen Hong's role in the Chinese Figure Skating Championships?,What competition is Chen Hong a participant in?,Artist
0,Scott Gregory was a participant in figure skating at the 1984 Winter Olympics – ice dance.,Who participated in figure skating at the 1984 Winter Olympics?,What was Scott Gregory's role in the 1984 Winter Olympics?,What was Scott Gregory a participant in?,Artist
0,Sigga was a participant in the Eurovision Song Contest 1990.,Who participated in the Eurovision Song Contest in 1990?,What was Sigga's role in the Eurovision Song Contest?,What contest did Sigga participate in?,Artist
0,Colleen O'Connor was a participant in figure skating at the 1976 Winter Olympics – ice dance.,Who participated in figure skating at the 1976 Winter Olympics?,What was Colleen O'Connor's role in the 1976 Winter Olympics?,What was Colleen O'Connor a participant in?,Artist
0,Ena Sandra Causevic has a height of 1.73 metres.,What is the name of the actress?,What is Ena Sandra Causevic's measure?,How tall is Ena Sandra Causevic?,Artist
0,Haruki Sayama's height is 172 centimetres.,Who is the tallest person in Japan?,What is Haruki Sayama's height?,What is Haruki Sayama's height?,Artist
0,Akio Nakamura's height is 173 centimetres.,Who is taller than Nakamura?,What is Akio Nakamura's height?,What is Akio Nakamura's height?,Artist
0,Atsushi Kashimura's height is 171 centimetres.,Who is taller than the average person?,What is Atsushi Kashimura's height?,What is Atsushi Kashimura's height?,Artist
0,Sanshirō Katsura is 180 centimetres high.,What is the name of the volcano that is 180 centimeters high?,What is Sanshiro Katsura's height?,How tall is Sanshiro Katsura?,Artist
0,Ratno Timoer is 1.8 metres high.,What is the name of the animal that is 1.8 meters high?,What is the Ratno Timoer's average height?,How tall is Ratno Timoer?,Artist
0,Magafura Saligaskarova has a mezzo-soprano voice.,Who has a mezzo-soprano voice?,What is Magafura Saligaskarova's?,What type of voice does Magafura Saligaskarova have?,Artist
0,Étienne Lestringant's voice type is tenor.,What is the name of the singer who has a tenor voice?,What is Étienne Lestringant's tenor?,What is Étienne Lestringant's voice type?,Artist
0,Gerd Wolf's voice type is bass.,What is the name of the person who has a bass voice?,What is Gerd Wolf's name?,What is Gerd Wolf's voice type?,Artist
0,David Gamrekeli's voice type is baritone.,Who has a baritone voice?,What is David Gamrekeli's?,What is David Gamrekeli's voice type?,Artist
0,Kangin's voice type is baritone.,What is Kangin's voice type?,What is Kangin's name?,What is Kangin's voice type?,Artist
0,Adele's voice type is mezzo-soprano.,What singer is mezzo-soprano?,What is Adele's?,What is Adele's voice type?,Artist
0,Kiyoshi Sugimoto has the blood type B.,Who has the blood type B?,What type of blood does Kiyoshi Sugimoto have?,What type of blood does Kiyoshi Sugimoto have?,Artist
0,Atsushi Ogawa has the blood type A.,Who has the blood type A?,What type of blood does Atsushi Ogawa have?,What type of blood does Atsushi Ogawa have?,Artist
0,Ikuko Tatsu has the blood type A.,What is the name of the person who has the blood type A?,What type of blood does Tatsu have?,What type of blood does Tatsu have?,Artist
0,Nishiki Kitaoka has the blood type O.,Who has the blood type O?,What is Nishiki Kitaoka's blood type?,What blood type does Kitaoka have?,Artist
0,Toshihiro Nobuyama's blood type is O.,Who has O.,What is Toshihiro Nobuyama's blood type?,What is Toshihiro Nobuyama's blood type?,Artist
0,Wang Ji-hye has the blood type O.,Who has the blood type O?,What is Wang Ji-hye's blood type?,What blood type does Wang Ji-hye have?,Artist
0,Ahmed Bahaeddine Attia died of natural causes.,Who died of natural causes?,What was the cause of death?,What was the cause of death of Attia?,Artist
0,Marina Ripa di Meana died of natural causes.,Who died of natural causes?,What was the cause of Marina Ripa di Meana's death?,What caused Marina Ripa di Meana to die?,Artist
0,Walter Reisch died of natural causes.,Who died of natural causes?,What was Walter Reisch's cause of death?,What caused Walter Reisch's death?,Artist
0,Murray Gershenz died of natural causes.,Who died of natural causes?,What was the cause of death of Murray Gershenz?,What was the cause of death of Murray Gershenz?,Artist
0,Ronnie Wells died of natural causes.,Who died of natural causes?,What was Ronnie Wells' cause of death?,What caused Ronnie Wells to die?,Artist
0,Farrah Fawcett died of natural causes.,Who died of natural causes?,What was the cause of death of Farrah Fawcett?,What caused Farrah Fawcett to die?,Artist
0,Rosario Granados' pseudonym is Charito Granados.,Who is the pseudonym of Charito Granados?,What is Charito Granados's real name?,What is Rosario Granados' pseudonym?,Artist
0,Maret is a pseudonym for Maret.,What is Maret a pseudonym for?,What is Maret?,What is Maret a pseudonym for?,Artist
0,Samuel is the pseudonym for Arredondo Samuel.,Samuel is the pseudonym for what?,What is Samuel?,What is the pseudonym for Arredondo Samuel?,Artist
0,Joey Coco is the pseudonym of Prince.,Joey Coco is the pseudonym of what famous artist?,What is Joey Coco's nickname?,What is the pseudonym of Prince?,Artist
0,The pseudonym of Aşık Mahzuni Şerif is Aşık Mahzuni Şerif.,What is the pseudonym of Aş<unk>k Mahzuni <unk>erif?,,,Artist
0,Sufiyan Malik is a pseudonym for Sufiyan Malik.,What is the pseudonym for Sufiyan Malik?,What is Sufiyan Malik's real name?,What is the pseudonym for Sufiyan Malik?,Artist
0,"Randy Travis was nominated for the Grammy Award for Best Southern, Country or Bluegrass Gospel Album.","Who was nominated for the Grammy Award for Best Southern, Country or Bluegrass Gospel Album?",,What award did Randy Travis win?,Artist
0,Micaela Ramazzotti was nominated for the European Film Award – People's Choice Award for Best European Film.,Who was nominated for the European Film Award?,What award did Micaela Ramazzotti receive?,What award did Micaela Ramazzotti win?,Artist
0,Stefan Arsenijević was nominated for the European Film Award for Best Short Film.,Who was nominated for the European Film Award for Best Short Film?,,,Artist
0,Kristen Bell was nominated for the Teen Choice Award for Choice TV Actress Drama.,Who was nominated for the Teen Choice Award for TV Actress Drama?,What award did Kristen Bell receive?,What award did Kristen Bell win?,Artist
0,Robert Mitchum was nominated for the Academy Award for Best Supporting Actor.,Who was nominated for the Academy Award for Best Supporting Actor?,What Academy Award was Mitchum nominated for?,What award did Mitchum win?,Artist
0,Virginie Efira was nominated for the European Film Award – People's Choice Award for Best European Film.,Who was nominated for the European Film Award?,What award did Efira receive?,What award did Efira win?,Artist
0,Էլյա Ղամբարյան is an ethnic group of Armenians.,What is the ethnic group of Armenians?,,,Artist
0,Ai Taniuchi is a food found in Japan.,What is the name of the food found in Japan?,What is the main group of people that eats Ai Taniuchi?,What is the origin of Ai Taniuchi?,Artist
0,Roman Vasylyk is an ethnic group of Ukrainians.,What is the ethnic group of Ukrainians?,What is Roman Vasylyk?,Roman Vasylyk is an ethnic group of what?,Artist
0,Omar Tiberiades is part of the ethnic group of the Mazanderani people.,What is the name of the ethnic group of the Mazanderani people?,What is Omar Tiberiades a part of?,What ethnic group is Omar Tiberiades a part of?,Artist
0,Margherita Durastanti is an Italian.,Who is an Italian?,What is Margherita Durastanti?,What is Margherita Durastanti's nationality?,Artist
0,The indigenous peoples of the United States are an ethnic group of Tomo.,What ethnic group are the indigenous peoples of the United States?,What are the indigenous peoples of the United States an?,What is an ethnic group of Tomo?,Artist
0,Thomas Nabais lives in Villard-de-Lans.,Who lives in Villard-de-Lans?,Where does Thomas Nabais live?,Where does Thomas Nabais live?,Artist
0,Eduardo Sarabia lives in Guadalajara.,Who lives in Guadalajara?,Where does Eduardo Sarabia live?,Where does Eduardo Sarabia live?,Artist
0,William Matthison lives in Neithrop.,Who lives in Neithrop?,What is the name of William Matthison's residence?,Where does William Matthison live?,Artist
0,José Nicolau y Bartomeu lives in Paris.,Who lives in Paris?,Where does José Nicolau y Bartomeu live?,Where does José Nicolau y Bartomeu live?,Artist
0,Cate Blanchett lives in Crowborough.,Who lives in Crowborough?,Where does Cate live?,Where does Cate Blanchett live?,Artist
0,Josely Carvalho lives in New York City.,Who lives in New York City?,Where does Josely Carvalho live?,Where does Josely Carvalho live?,Artist
0,Moritz Moszkowski is a student of Eduard Franck.,Who is a student of Eduard Franck?,What is Moritz Moszkowski's profession?,Moritz Moszkowski studied under whom?,Artist
0,Vasily Mate is a student of François Pannemaker.,Who is a student of François Pannemaker?,What is Vasily Mate's profession?,Who is Vasily Mate a student of?,Artist
0,Karl Müller was a student of Ludwig von Löfftz.,Who was a student of Ludwig von Löfftz?,What was Karl Müller's profession?,Karl Müller studied under whom?,Artist
0,"Marc Bonnehée is a student of Louis Marie Paulin, Benoist Alphonse Révial.",Who is a student of Louis Marie Paulin?,What is Marc Bonnehée's profession?,Who is Marc Bonnehée a student of?,Artist
0,Laurence Boulay is a student of Alexis Roland-Manuel.,Who is a student of Alexis Roland-Manuel?,What is Laurence Boulay's profession?,Who is Laurence Boulay a student of?,Artist
0,Kathleen Lockhart Manning is a student of Moritz Moszkowski.,Who is a student of Moritz Moszkowski?,What is Kathleen Lockhart Manning's profession?,Who is Kathleen Lockhart Manning a student of?,Artist
0,Anton Ažbe died of esophageal cancer.,Who died of esophageal cancer?,,,Artist
0,"Alexey Zbruev, engraver died from cholera.",Who died from cholera?,What was the cause of Alexey Zbruev's death?,What disease did Zbruev die from?,Artist
0,Niko Pirosmani died of malnutrition.,Who died of malnutrition?,What was Niko Pirosmani's cause of death?,What was the cause of death of Niko Pirosmani?,Artist
0,Leo Fall's cause of death is cancer.,Who died of cancer?,What is Leo Fall's cause of death?,What is Leo Fall's cause of death?,Artist
0,John Stuart died from a myocardial infarction.,Who died from a myocardial infarction?,What was John Stuart's cause of death?,What caused John Stuart's death?,Artist
0,Walter Surovy died of a disease.,Who died of a disease?,What was the cause of death of Walter Surovy?,What caused Walter Surovy's death?,Artist
0,Egerton Swartwout's father is Satterlee Swartwout.,Who is Satterlee Swartwout's father?,What is Satterlee Swartwout's occupation?,Who is Egerton Swartwout's father?,Artist
0,Wenzel von Paar's father was Wenzel Johann Joseph Paar.,Who was the father of Wenzel Johann Joseph Paar?,What was Wenzel von Paar's occupation?,Who was Wenzel von Paar's father?,Artist
0,Bjørn Bjørnson's father is Bjørnstjerne Bjørnson.,Who is Björnstjerne Björnson's father?,,,Artist
0,Elias J Jacoby is the father of Helen Eaton Jacoby.,Who is Elias J Jacoby's father?,What is Elias J Jacoby's occupation?,Who is the father of Helen Eaton Jacoby?,Artist
0,Roy Beddington's father was Reginald Beddington.,Who was the son of Reginald Beddington?,What was Roy's father's name?,Roy Beddington's father was who?,Artist
0,Douglas Trumbull's father is Donald Trumbull.,Who is Donald Trumbull's father?,What is Donald Trumbull's occupation?,Who is Douglas Trumbull's father?,Artist
0,Hopsin is a member of the record label 300 Entertainment.,Who is a member of 300 Entertainment?,What is 300 Entertainment?,What record label is Hopsin a member of?,Artist
0,Mathieu Sourisseau is the owner of the record label Buda Musique.,Who owns the record label Buda Musique?,What is Buda Musique?,What record label does Mathieu Sourisseau own?,Artist
0,Mark Chesnutt has a record label called Universal Music Group Nashville.,Who has a record label called Universal Music Group Nashville?,What is Universal Music Group Nashville?,What is Mark Chesnutt's record label?,Artist
0,Sony Music is the record label for Emanero.,What is the name of the band that Sony Music is the record label for?,What is Sony Music?,What is the name of the record label for Emanero?,Artist
0,Mabanua has a record label called origami PRODUCTIONS.,What is the name of the record label?,What is origami PRODUCTIONS?,What is the name of Mabanua's record label?,Artist
0,Gerald Toto is on the record label Warner Music Group.,Who is on the Warner Music Group record label?,What is Gerald Toto's job title?,What record label is Gerald Toto on?,Artist
0,Richard Westall has artist files at the Frick Art Reference Library.,Who has artist files at the Frick Art Reference Library?,Where does Richard Westall have his art?,Where are artist files located?,Artist
0,Jacob Duck is in the Frick Art Reference Library.,What is the name of the duck in the Frick Art Reference Library?,Where is Jacob Duck located?,Where is Jacob Duck located?,Artist
0,Frederick C. Nightingale's artist files are at the Frick Art Reference Library.,Whose artist files are at the Frick Art Reference Library?,Where are Frederick C. Nightingale's files located?,Where are Frederick C. Nightingale's artist files located?,Artist
0,George Kachergis has artist files at the Frick Art Reference Library.,Who has artist files at the Frick Art Reference Library?,Where does George Kachergis have his art?,Where are artist files located?,Artist
0,El Mo Sara y Hernández has artist files at the Frick Art Reference Library.,Who has artist files at the Frick Art Reference Library?,Where is El Mo Sara y Hernández located?,Where are artist files located?,Artist
0,Félix Ziem has artist files at the Frick Art Reference Library.,Who has artist files at the Frick Art Reference Library?,Where does Félix Ziem have his art?,Where are artist files located?,Artist
